period,slot,sum,count,mean_lsi_5
test,141,-5791.015244864648,11590,-0.49965619023853736
test,142,-5441.082895506855,11590,-0.46946358028531965
test,143,-5421.417026778501,11590,-0.4677667840188526
test,144,-5710.602475326627,11590,-0.49271807379867366
test,145,-5664.581687501239,11590,-0.4887473414582605
test,146,-5260.896112906313,11590,-0.4539168345907086
test,147,-5959.794164177305,11590,-0.5142186509212515
test,148,-5985.172754695637,11589,-0.516452908335114
test,149,-5881.05858262182,11590,-0.5074252444022278
test,150,-5929.427149022332,11590,-0.5115985460761288
test,151,-6507.832574787107,11590,-0.5615041048133828
test,152,-6098.199550005886,11590,-0.5261604443490842
test,153,-5914.920318406328,11590,-0.5103468782058954
test,154,-5276.584553540628,11590,-0.45527045328219395
test,155,-5053.872100297028,11590,-0.43605453842079617
test,156,-4433.581374387076,11590,-0.3825350625010419
test,157,-4023.38248113617,11589,-0.34717253267203124
test,158,-3693.3412802149983,11590,-0.31866620191673845
test,159,-4449.536058878879,11590,-0.38391165305253483
test,160,-3925.624456867746,11590,-0.33870789101533616
test,161,-4618.333872062742,11590,-0.3984757439225834
test,162,-4636.406139072206,11590,-0.40003504219777447
test,163,-5519.625453062679,11590,-0.4762403324471682
test,164,-5242.588583097184,11590,-0.4523372375407406
test,165,-5349.73273188105,11590,-0.4615817715169155
test,166,-5650.566981318032,11590,-0.48753813471251356
test,167,-5860.175656936976,11590,-0.5056234389074181
test,168,-5625.362278257613,11590,-0.4853634407469899
test,169,-6211.416477710034,11590,-0.5359289454452143
test,170,-6082.416382822189,11590,-0.524798652529956
test,171,-6005.793008639605,11590,-0.5181874899602765
test,172,-6020.935584859312,11590,-0.5194940107730209
test,173,-5661.575890956426,11590,-0.48848799749408334
test,174,-5682.0755705074425,11590,-0.4902567360230753
test,175,-5433.664326931957,11590,-0.4688234967154406
test,176,-5155.112042628872,11590,-0.44478964992483794
test,177,-5698.652248100259,11590,-0.4916869929335858
test,178,-6898.764588742989,11590,-0.5952342181831742
