horizon,model,feature_group,recall,precision,event_rate
H5,Naive,P,0.8428466702123072,0.042895214852822945,0.02871772305677869
H5,Naive,P,0.8437522459716253,0.04281460885599167,0.02871772305677869
H5,Naive,P,0.8444134600181115,0.04272214497239369,0.02871772305677869
H5,Naive,P,0.8450315514093921,0.042628048020001565,0.02871772305677869
H5,Naive,P,0.8458940045135046,0.04254679221710663,0.02871772305677869
H5,Naive,P,0.8469001998016358,0.04247318843034903,0.02871772305677869
H5,Naive,P,0.8476045365033277,0.042384948516595085,0.02871772305677869
H5,Naive,P,0.8486107317914588,0.042312270967103834,0.02871772305677869
H5,Naive,P,0.8495738044243845,0.042237869583145446,0.02871772305677869
H5,Naive,P,0.8499475341028332,0.042134651314917504,0.02871772305677869
H5,Naive,P,0.8510830973565813,0.042069714267849556,0.02871772305677869
H5,Naive,P,0.8520892926447124,0.041998772889646506,0.02871772305677869
H5,Naive,P,0.8529948684040305,0.041923291581007285,0.02871772305677869
H5,Naive,P,0.8538285730713392,0.04184468857759759,0.02871772305677869
H5,Naive,P,0.8551653753827135,0.0417911475232495,0.02871772305677869
H5,Naive,P,0.8566746683149103,0.04174631537877997,0.02871772305677869
H5,Naive,P,0.8578102315686584,0.04168354674407754,0.02871772305677869
H5,Naive,P,0.8585576909255559,0.04160235478981857,0.02871772305677869
H5,Naive,P,0.859118285443229,0.04151258963324341,0.02871772305677869
H5,Naive,P,0.8602251002601734,0.041449646765479985,0.02871772305677869
H5,Naive,P,0.8612169213299027,0.04138150147287866,0.02871772305677869
H5,Naive,P,0.8617918900659777,0.041293790365516926,0.02871772305677869
H5,Naive,P,0.8624531041124639,0.04121068757971692,0.02871772305677869
H5,Naive,P,0.8634592994005951,0.0411444837829637,0.02871772305677869
H5,Naive,P,0.864048642355072,0.041058809225544425,0.02871772305677869
H5,Naive,P,0.8652273282640256,0.041001562600046594,0.02871772305677869
H5,Naive,P,0.8662047751153531,0.04093512033747478,0.02871772305677869
H5,Naive,P,0.867124725093073,0.04086633237453545,0.02871772305677869
H5,Naive,P,0.8679584297603817,0.040793839206755306,0.02871772305677869
H5,Naive,P,0.8687058891172792,0.040717726140530895,0.02871772305677869
H5,Naive,P,0.8696402133134011,0.04065076158025972,0.02871772305677869
H5,Naive,P,0.8706032859463266,0.04058550013368348,0.02871772305677869
H5,Naive,P,0.8711207578087942,0.04049984763187862,0.02871772305677869
H5,Naive,P,0.8720263335681122,0.04043267884992202,0.02871772305677869
H5,Naive,P,0.8727306702698041,0.04035656552765636,0.02871772305677869
H5,Naive,P,0.8733056390058791,0.04027489413380638,0.02871772305677869
H5,Naive,P,0.8743118342940103,0.04021346690000284,0.02871772305677869
H5,Naive,P,0.8751167905245152,0.04014316261999727,0.02871772305677869
H5,Naive,P,0.8756773850421883,0.040062052779058305,0.02871772305677869
H5,Naive,P,0.8763242248702727,0.0399853084407599,0.02871772305677869
H5,Naive,P,0.8770141873535626,0.039910906438677854,0.02871772305677869
H5,Naive,P,0.877661027181647,0.03983496588538167,0.02871772305677869
H5,Naive,P,0.878465983412152,0.03976658264023456,0.02871772305677869
H5,Naive,P,0.8790840748034325,0.03969012150341822,0.02871772305677869
H5,Naive,P,0.8800471474363581,0.03962956993527766,0.02871772305677869
H5,Naive,P,0.8808233552300594,0.039560967390188585,0.02871772305677869
H5,Naive,P,0.8815133177133493,0.0394888586247863,0.02871772305677869
