task,horizon,period,feature_group,model,top_frac,hit_rate,lift
continuation,H10,validation,P,Logit,0.1,0.351034,6.654964
continuation,H10,validation,P,Logit,0.2,0.209692,3.975376
continuation,H10,validation,P,LightGBM,0.01,0.929046,17.612986
continuation,H10,validation,P,LightGBM,0.05,0.55034,10.433422
continuation,H10,validation,P,LightGBM,0.1,0.354978,6.729728
continuation,H10,validation,P,LightGBM,0.2,0.211251,4.004921
continuation,H10,validation,P,SMARTBoost,0.01,0.916469,17.374565
continuation,H10,validation,P,SMARTBoost,0.05,0.548655,10.401485
continuation,H10,validation,P,SMARTBoost,0.1,0.355553,6.740619
continuation,H10,validation,P,SMARTBoost,0.2,0.211258,4.005069
continuation,H10,validation,M,Logit,0.01,0.696115,13.197046
continuation,H10,validation,M,Logit,0.05,0.533129,10.107138
continuation,H10,validation,M,Logit,0.1,0.34994,6.634212
continuation,H10,validation,M,Logit,0.2,0.209353,3.968937
continuation,H10,validation,M,LightGBM,0.01,0.923611,17.509964
continuation,H10,validation,M,LightGBM,0.05,0.550681,10.439898
continuation,H10,validation,M,LightGBM,0.1,0.355809,6.745475
continuation,H10,validation,M,LightGBM,0.2,0.212252,4.023907
continuation,H10,validation,M,SMARTBoost,0.01,0.915771,17.361319
continuation,H10,validation,M,SMARTBoost,0.05,0.546606,10.362632
continuation,H10,validation,M,SMARTBoost,0.1,0.354869,6.727667
continuation,H10,validation,M,SMARTBoost,0.2,0.211848,4.016254
continuation,H10,validation,C,Logit,0.01,0.702364,13.31552
continuation,H10,validation,C,Logit,0.05,0.528727,10.023691
continuation,H10,validation,C,Logit,0.1,0.348717,6.611033
continuation,H10,validation,C,Logit,0.2,0.209428,3.970372
continuation,H10,validation,C,LightGBM,0.01,0.924543,17.527625
continuation,H10,validation,C,LightGBM,0.05,0.552575,10.475808
continuation,H10,validation,C,LightGBM,0.1,0.355914,6.747462
continuation,H10,validation,C,LightGBM,0.2,0.212275,4.024348
continuation,H10,validation,C,SMARTBoost,0.01,0.9063,17.181767
continuation,H10,validation,C,SMARTBoost,0.05,0.548298,10.394715
continuation,H10,validation,C,SMARTBoost,0.1,0.35431,6.717071
continuation,H10,validation,C,SMARTBoost,0.2,0.212184,4.022619
continuation,H10,validation,ALL,Logit,0.01,0.757249,14.356037
continuation,H10,validation,ALL,Logit,0.05,0.539852,10.234591
continuation,H10,validation,ALL,Logit,0.1,0.356923,6.766595
continuation,H10,validation,ALL,Logit,0.2,0.21522,4.080164
continuation,H10,validation,ALL,LightGBM,0.01,0.924349,17.523946
continuation,H10,validation,ALL,LightGBM,0.05,0.566774,10.744988
continuation,H10,validation,ALL,LightGBM,0.1,0.368711,6.990078
continuation,H10,validation,ALL,LightGBM,0.2,0.223902,4.244777
continuation,H10,validation,ALL,SMARTBoost,0.01,0.915305,17.352489
continuation,H10,validation,ALL,SMARTBoost,0.05,0.563374,10.680526
continuation,H10,validation,ALL,SMARTBoost,0.1,0.366925,6.956228
